dam_name,company_name,latitude,longitude,state,city,risk_category,potential_damage
DIQUE 03 PONTAL,Vale S A,-19.608,-43.184,MG,Itabira,BAIXO,ALTO
DIQUE 04 PONTAL (ou Dique 4 braço) CAUÊ,Vale S A,-19.607,-43.176,MG,Itabira,BAIXO,ALTO
DIQUE 05 PONTAL,Vale S A,-19.605,-43.173,MG,Itabira,BAIXO,ALTO
DIQUE 06 PONTAL (CAUÊ),Vale S A,-19.613,-43.174,MG,Itabira,BAIXO,ALTO
DIQUE 105 I (Minas do Meio),Vale S A,-19.627,-43.238,MG,Itabira,BAIXO,ALTO
Dique 1A Conceição,Vale S A,-19.644000000000002,-43.282,MG,Itabira,BAIXO,BAIXO
DIQUE 1B CONCEIÇÃO,Vale S A,-19.639,-43.282,MG,Itabira,BAIXO,BAIXO
DIQUE B,Vale S A,-20.124000000000002,-43.925,MG,Nova Lima,BAIXO,ALTO
Dique B3 Ipê,EMICOM Mmx Sudeste Mineração S.a.,-20.119,-44.316,MG,Brumadinho,ALTO,MÉDIO
Dique B4 Ipê,EMICOM Mmx Sudeste Mineração S.a.,-20.117,-44.317,MG,Brumadinho,ALTO,MÉDIO
Dique Conquistinha,Mmx Sudeste Mineração S.a.,-20.116,-44.298,MG,Brumadinho,ALTO,ALTO
DIQUE CORDÃO NOVA VISTA (CAUÊ),Vale S A,-19.617,-43.203,MG,Itabira,BAIXO,ALTO
Dique Corte Azul,Vale S A,-20.418,-43.9,MG,Ouro Preto,BAIXO,BAIXO
Dique Couves [MBL],Mineração Usiminas S.a.,-20.152,-44.446000000000005,MG,Itatiaiuçu,BAIXO,MÉDIO
DIQUE D,BRASMIC MINERAÇÃO AREIA E BRITA LTDA.,-19.986,-44.122,MG,Betim,BAIXO,ALTO
DIQUE DA PDE 03,Vale S A,-19.864,-43.356,MG,São Gonçalo Do Rio Abaixo,BAIXO,BAIXO
DIQUE DA PDE LAGOA SECA,Vale S A,-20.349,-43.413000000000004,MG,Mariana,BAIXO,MÉDIO
DIQUE DA PERA,Vale S A,-20.347,-43.431000000000004,MG,Mariana,BAIXO,ALTO
DIQUE DA PILHA DA VILA II,Companhia Siderúrgica Nacional SA,-20.452,-43.9,MG,Congonhas,BAIXO,MÉDIO
Dique de Contenção de Sedimentos 01,Anglo American Minério de Ferro Brasil S.a,-18.899,-43.408,MG,Conceição Do Mato Dentro,BAIXO,MÉDIO
Dique de Contenção de Sedimentos 02,Anglo American Minério de Ferro Brasil S.a,-18.89,-43.405,MG,Conceição Do Mato Dentro,BAIXO,MÉDIO
DIQUE DO BICHENTO IIIA,Companhia Siderúrgica Nacional SA,-20.485,-43.933,MG,Congonhas,BAIXO,MÉDIO
DIQUE DO ENGENHO,Nacional Minerios S/A,-20.456,-43.894,MG,Ouro Preto,BAIXO,MÉDIO
Dique do Esmeril I,Companhia Siderúrgica Nacional SA,-20.47,-43.93600000000001,MG,Congonhas,BAIXO,BAIXO
DIQUE DO ESMERIL IV,Companhia Siderúrgica Nacional SA,-20.485,-43.955,MG,Congonhas,BAIXO,ALTO
DIQUE FERNANDINHO,Vale S A,-20.183,-43.858999999999995,MG,Nova Lima,MÉDIO,BAIXO
DIQUE II,Vale S A,-20.153,-43.888000000000005,MG,Nova Lima,BAIXO,MÉDIO
DIQUE III,Vale S A,-20.156,-43.887,MG,Nova Lima,BAIXO,MÉDIO
Dique Lisa,Vallourec Mineração Ltda.,-20.15,-43.964,MG,Nova Lima,BAIXO,ALTO
DIQUE MINERVINO (CAUÊ),Vale S A,-19.612000000000002,-43.208,MG,Itabira,BAIXO,ALTO
Dique Norte PDE - 01,GERDAU AÇOMINAS S.A.,-20.301,-43.922,MG,Itabirito,BAIXO,BAIXO
Dique Oeste,Mineração Usiminas S.a.,-20.167,-44.45,MG,Itatiaiuçu,BAIXO,ALTO
DIQUE PARACATU,Vale S A,-20.118,-43.413999999999994,MG,Catas Altas,BAIXO,MÉDIO
DIQUE PDE FOSFOROSO (Alegria),Vale S A,-20.159000000000002,-43.468999999999994,MG,Mariana,BAIXO,MÉDIO
DIQUE QUÉIAS,COMPANHIA DE MINERAÇÃO SERRA AZUL - COMISA,-20.127,-44.316,MG,Brumadinho,BAIXO,ALTO
DIQUE QUINZINHO (Minas do Meio),Vale S A,-19.607,-43.257,MG,Itabira,BAIXO,ALTO
DIQUE RIO DO PEIXE,Vale S A,-19.671,-43.242,MG,Itabira,BAIXO,MÉDIO
DIQUE TRÊS FONTES (Minas do Meio),Vale S A,-19.622,-43.233999999999995,MG,Itabira,BAIXO,ALTO
Dique Unidade I - Dique MBL,Mineração Usiminas S.a.,-20.162,-44.458,MG,Itaúna,BAIXO,BAIXO
